,Symbol,Date,High,Low,Open,Close,Volume
1817,JNJ,2013-03-07,77.96,77.59,77.62,77.75,7996500
1818,JNJ,2013-03-08,78.22,77.70,77.84,78.19,8554100
1819,JNJ,2013-03-11,78.52,77.84,77.92,78.44,8807600
1820,JNJ,2013-03-12,78.69,78.21,78.50,78.56,8790500
1821,JNJ,2013-03-13,78.67,78.20,78.52,78.55,7983400
1822,JNJ,2013-03-14,79.10,78.49,78.67,79.10,10130400
1823,JNJ,2013-03-15,79.24,78.62,78.62,79.19,18296500
1824,JNJ,2013-03-18,79.19,78.70,78.72,78.81,8005400
1825,JNJ,2013-03-19,79.09,78.50,78.98,78.86,7095800
1826,JNJ,2013-03-20,79.61,79.17,79.18,79.45,8000800
1827,JNJ,2013-03-21,79.50,78.77,79.12,79.01,8436300
1828,JNJ,2013-03-22,79.74,79.02,79.11,79.74,6873100
1829,JNJ,2013-03-25,79.94,79.47,79.83,79.68,9616600
1830,JNJ,2013-03-26,80.88,79.85,79.93,80.85,12682900
1831,JNJ,2013-03-27,81.35,80.27,80.56,81.27,10703400
1832,JNJ,2013-03-28,81.59,80.95,81.37,81.53,11332100
1833,JNJ,2013-04-01,81.96,81.28,81.39,81.93,7376800
1834,JNJ,2013-04-02,82.69,81.90,82.00,82.69,10342200
1835,JNJ,2013-04-03,82.95,81.57,82.74,82.07,12254000
1836,JNJ,2013-04-04,82.72,81.93,82.20,82.41,10303000
1837,JNJ,2013-04-05,82.11,81.62,81.79,82.04,8581400
1838,JNJ,2013-04-08,81.39,80.31,81.27,81.11,15828500
1839,JNJ,2013-04-09,81.75,81.24,81.26,81.52,9111000
1840,JNJ,2013-04-10,82.20,81.74,81.83,82.02,7583200
1841,JNJ,2013-04-11,82.96,82.08,82.14,82.32,9882700
1842,JNJ,2013-04-12,82.74,82.17,82.25,82.74,6987000
1843,JNJ,2013-04-15,83.09,81.71,82.72,81.71,12385800
1844,JNJ,2013-04-16,83.54,82.07,82.33,83.44,12620000
1845,JNJ,2013-04-17,84.43,83.29,83.36,83.90,13693300
1846,JNJ,2013-04-18,84.30,83.03,83.96,83.18,9921500
1847,JNJ,2013-04-19,84.57,83.47,83.51,84.49,10787600
1848,JNJ,2013-04-22,84.93,84.20,84.59,84.83,6989900
1849,JNJ,2013-04-23,85.68,84.00,84.99,85.45,8982100
1850,JNJ,2013-04-24,85.74,84.28,85.68,84.39,9480600
1851,JNJ,2013-04-25,85.44,84.34,84.54,85.22,8689400
1852,JNJ,2013-04-26,85.49,84.81,85.30,85.12,6784700
1853,JNJ,2013-04-29,85.89,84.91,85.02,85.58,8038000
1854,JNJ,2013-04-30,85.70,84.89,85.39,85.23,12099600
1855,JNJ,2013-05-01,85.13,83.88,84.50,84.23,12312100
1856,JNJ,2013-05-02,85.21,84.17,84.44,85.16,8668900
1857,JNJ,2013-05-03,85.99,85.45,85.58,85.75,9213800
1858,JNJ,2013-05-06,85.78,84.55,85.78,84.68,8815600
1859,JNJ,2013-05-07,85.57,84.63,84.87,85.53,9061800
1860,JNJ,2013-05-08,85.60,84.93,85.48,85.46,8044600
1861,JNJ,2013-05-09,85.69,84.96,85.45,85.15,8342000
1862,JNJ,2013-05-10,85.76,85.18,85.29,85.76,7594800
1863,JNJ,2013-05-13,86.07,85.44,85.56,85.85,6631500
1864,JNJ,2013-05-14,87.08,85.76,85.76,86.97,10360700
